artist_name,birth_year,birth_year_key,style_name,style_count,style_years
Alekos Kontopoulos,1904,1904,Abstract Art,,1954-1974
Alekos Kontopoulos,1904,1904, Cubism,,
Alekos Kontopoulos,1904,1904, Expressionism,,
Alekos Kontopoulos,1904,1904, Post-Impressionism,,
Alekos Kontopoulos,1904,1904, Realism,,
Alekos Kontopoulos,1904,1904, Social Realism,,
Alekos Kontopoulos,1904,1904, Surrealism,,
Alexander Calder,1898,1898,Abstract Art,,1930-1975
Alexander Calder,1898,1898, Abstract Expressionism,,
Alexander Calder,1898,1898, American Realism,,
Alexander Calder,1898,1898, Environmental (Land) Art,,
Alexander Calder,1898,1898, Expressionism,,
Alexander Calder,1898,1898, Kinetic Art,,
Alexander Calder,1898,1898, Surrealism,,
Alexander Calder,1898,1898, Unknown,,
Alexander Rodchenko,1891,1891,Abstract Art,,
Alexander Rodchenko,1891,1891, Constructivism,,
Alexander Rodchenko,1891,1891, Cubo-Futurism,,
Alexander Rodchenko,1891,1891, Unknown,,
Alexej von Jawlensky,1864,1864,Abstract Art,,1916-1936
Alexej von Jawlensky,1864,1864, Expressionism,,
Alexej von Jawlensky,1864,1864, Fauvism,,
Alexej von Jawlensky,1864,1864, Impressionism,,
Alexej von Jawlensky,1864,1864, Pointillism,,
Alexej von Jawlensky,1864,1864, Unknown,,
Alla Horska,1929,1929,Abstract Art,,1960-1970
Alla Horska,1929,1929, Cubism,,
Alla Horska,1929,1929, Expressionism,,
Alla Horska,1929,1929, Naïve Art (Primitivism),,
Alla Horska,1929,1929, Socialist Realism,,
Alphonse Allais,1854,1854,Abstract Art,7,1883-1884
Amadeo de Souza-Cardoso,1887,1887,Abstract Art,,
Amadeo de Souza-Cardoso,1887,1887, Cubism,,
Amadeo de Souza-Cardoso,1887,1887, Dada,,
Amadeo de Souza-Cardoso,1887,1887, Expressionism,,
Amadeo de Souza-Cardoso,1887,1887, Futurism,,
Amadeo de Souza-Cardoso,1887,1887, Impressionism,,
Amadeo de Souza-Cardoso,1887,1887, Unknown,,
Andrzej Nowacki,1953,1953,Abstract Art,,2004-2017
Anni Albers,1899,1899,Abstract Art,,1924-1980
Anni Albers,1899,1899, Op Art,,
Anthony Caro,1924,1924,Abstract Art,14,1960-2006
Arthur Beecher Carles,1882,1882,Abstract Art,,1910-1941
Arthur Beecher Carles,1882,1882, Cubism,,
Arthur Beecher Carles,1882,1882, Expressionism,,
Arthur Beecher Carles,1882,1882, Post-Impressionism,,
Arthur Dove,1880,1880,Abstract Art,,1911-1943
Arthur Dove,1880,1880, Dada,,
Arthur Dove,1880,1880, Expressionism,,
Arthur Segal,1875,1875,Abstract Art,,1928-1928
Arthur Segal,1875,1875, Cubism,,
