artist_name,birth_year,birth_year_key,place_name
Guido Molinari,1933,1933,Montreal
Gunther Forg,1952,1952,Füssen
Hannelore Baron,1926,1926,Dillingen/Saar
Hans Hofmann,1933,1933,Hamburg
Hassan Massoudy,1944,1944,Najaf
Hassel Smith,1915,1915,Sturgis
Hedda Sterne,1910,1910,Bucharest
Helen Frankenthaler,1928,1928,Manhattan
Horia Bernea,1938,1938,Bucharest
Howard Hodgkin,1932,1932,London
Howard Mehring,1931,1931,Unknown
Huang Yongyu,1924,1924,Fenghuang County
Irma Blank,1934,1934,Celle
Ivan Eyre,1935,1935,Saskatchewan
Jack Tworkov,1900,1900,Biała Podlaska
Jackson Pollock,1912,1912,Cody
James Brooks,1940,1940,Brooklyn
Jane Frank,1918,1918,Baltimore
Jean-Paul Riopelle,1923,1923,Montreal
Jimmy Ernst,1920,1920,Cologne
Joan Miro,1893,1893,Barcelona
Joan Mitchell,1925,1925,Chicago
Joan Snyder,1940,1940,Highland Park
Jock Macdonald,1897,1897,Thurso
Joe Goode,1937,1937,Oklahoma City
John Cage,1912,1912,Good Samaritan Hospital
John Hoyland,1934,1934,Sheffield
John McCracken,1934,1934,Berkeley
Jose Guerrero,1914,1914,Granada
Julio Pomar,1926,1926,Lisbon
Jurgen Partenheimer,1947,1947,Munich
Kazuo Nakamura,1906,1906,Kumamoto Prefecture
Kazuo Shiraga,1924,1924,Amagasaki
Kenzo Okada,1902,1902,Yokohama
Larry Bell,1939,1939,Chicago
Larry Zox,1937,1937,Des Moines
Lech Twardowski,1952,1952,Brodnica
Lee Bontecou,1931,1931,Providence
Leiko Ikemura,1951,1951,Tsu
Leo Valledor,1936,1936,California
Louise Nevelson,1899,1899,Pereiaslav
Manabu Mabe,1924,1924,Kumamoto Prefecture
Manoucher Yektai,1922,1922,Tehran
Manuel Cargaleiro,1927,1927,Unknown
Manuel Neri,1930,1930,Sanger
Marcel Barbeau,1925,1925,Montreal
Marcia Hafif,1929,1929,Pomona
Mario Cesariny,1923,1923,Lisbon
Mark Lancaster,1970,1970,Cambridge
Mark Tobey,1890,1890,Centerville
Mark di Suvero,1933,1933,Shanghai
Martin Chirino,1925,1925,Las Palmas de Gran Canaria
Milton Resnick,1917,1917,Bratslav
Morris Graves,1910,1910,Fox
Morris Louis,1912,1912,Baltimore
Moshe Kupferman,1926,1926,Poland
Myron Stout,1908,1908,Denton
Nasreen Mohamedi,1937,1937,Karachi
Neil Welliver,1929,1929,Millville
Nicolas Carone,1917,1917,New York City
Norman Bluhm,1921,1921,Chicago
Norman Lewis,1908,1908,London Borough of Enfield
Oswaldo Vigas,1926,1926,Valencia
Oyvind Fahlstrom,1928,1928,São Paulo
Pat Lipsky,1941,1941,New York City
Paul Guiragossian,1926,1926,Jerusalem
Paul Jenkins,1923,1923,Kansas City
Paul Reed,1919,1919,"Washington, D.C."
Paul Wonner,1920,1920,Tucson
Pedro Coronel,1922,1922,Zacatecas
Peter Busa,1914,1914,Unknown
Philip Guston,1913,1913,Montreal
Phillip King,1934,1934,Tunis
Pol Bury,1922,1922,Haine-Saint-Pierre
Rafa Nasiri,1940,1940,Tikrit
Ralph Hotere,1931,1931,Mitimiti
Ralph Rosenborg,1913,1913,New York City
Raoul Ubac,1910,1910,Cologne
Reuben Nakian,1897,1897,College Point
Richard Diebenkorn,1922,1922,Portland
Richard Hambleton,1952,1952,Vancouver
Richard Smith,1968,1968,Detroit
Richard Tuttle,1941,1941,Rahway
Richards Ruben,1924,1924,Los Angeles
Robert Goodnough,1917,1917,Cortland
Robert Huot,1935,1935,Unknown
Robert Motherwell,1915,1915,Aberdeen
Robert Nickle,1919,1919,Saginaw
Robert Rauschenberg,1925,1925,Port Arthur
Roberto Matta,1911,1911,Santiago
Rodolfo Arico,1930,1930,Milan
Romare Bearden,1911,1911,Charlotte
Ronald Davis,1937,1937,Santa Monica
Ronnie Landfield,1947,1947,The Bronx
Sam Gilliam,1933,1933,Tupelo
Samia Halaby,1936,1936,Jerusalem
Sherrie Levine,1947,1947,Hazleton
Sohrab Sepehri,1928,1928,Kashan
Sonya Rapoport,1923,1923,Boston
Stephen Mueller,1947,1947,Norfolk
Taro Yamamoto,1974,1974,Takarazuka
Terry Frost,1915,1915,Royal Leamington Spa
Theodoros Stamos,1922,1922,New York City
Toko Shinoda,1913,1913,Dalian
Tsuruko Yamazaki,1925,1925,Ashiya
Ulfert Wilke,1907,1907,Bavaria
Vasile Dobrian,1912,1912,Rod
Walasse Ting,1929,1929,Wuxi
Warren Rohrer,1927,1927,Unknown
William Baziotes,1912,1912,Pittsburgh
William Congdon,1912,1912,Providence
William Scott,1913,1913,Greenock
William Tucker,1935,1935,Cairo
William Turnbull,1922,1922,Dundee
Yayoi Kusama,1929,1929,Matsumoto
Albert Aublet,1851,1851,Paris
Albert Edelfelt,1854,1854,Kiala manor
Albert Joseph Moore,1841,1841,York
Alexander Ivanov,1806,1806,Saint Petersburg
Alexandre Cabanel,1823,1823,Montpellier
Anders Zorn,1860,1860,Mora
Antonio Cabral Bejarano,1798,1798,Seville
Arturo Michelena,1863,1863,Valencia
Auguste Toulmouche,1829,1829,Nantes
Bertalan Szekely,1835,1835,Cluj-Napoca
Briton Riviere,1840,1840,London
Carl Bloch,1834,1834,Copenhagen
Charles Gleyre,1806,1806,Chevilly
Charles Martin Powell,1775,1775,Chichester
Charles Sprague Pearce,1851,1851,Boston
Christian Wilhelm Allers,1857,1857,Hamburg
Christina Robertson,1796,1796,Kinghorn
Claude Monet,1840,1840,Paris
Domenico Induno,1815,1815,Milan
Edward Poynter,1836,1836,Paris
Emmanuel Zairis,1876,1876,Bodrum
Ernest Meissonier,1815,1815,Lyon
Francesc Masriera,1842,1842,Barcelona
Francesco Hayez,1791,1791,Venice
Frederic Leighton,1830,1830,Scarborough
Frederick McCubbin,1855,1855,Melbourne
Fyodor Bronnikov,1827,1827,Shadrinsk
Gabriel Ferrier,1847,1847,Nîmes
Georg Pauli,1855,1855,Jönköpings Kristina församling
George Demetrescu Mirea,1852,1852,Bucharest
George Frederick Watts,1817,1817,London
Guillaume Seignac,1870,1870,Rennes
Gustave Boulanger,1824,1824,Paris
Henryk Siemiradzki,1843,1843,Kharkiv
Herbert James Draper,1863,1863,London
Hermann David Salomon Corrodi,1844,1844,Frascati
Jan Sluyters,1914,1914,Amsterdam
Jean-Paul Laurens,1838,1838,Fourquevaux
Jehan Georges Vibert,1840,1840,Paris
Joseph Ducreux,1735,1735,Nancy
Jules Bastien-Lepage,1848,1848,Damvillers
Jules Breton,1827,1827,Courrières
Jules Joseph Lefebvre,1834,1834,Tournan-en-Brie
Konstantin Bogaevsky,1872,1872,Feodosiia
Konstantin Makovsky,1839,1839,Moscow
Konstantin Vasilyev,1984,1984,Tallinn
Károly Lotz,1833,1833,Bad Homburg vor der Höhe
Leon Bonnat,1833,1833,Bayonne
Ludwig Knaus,1829,1829,Wiesbaden
Ludwig Passini,1832,1832,Vienna
Luke Fildes,1844,1844,Liverpool
Léon Cogniet,1794,1794,Paris
Marie Bracquemond,1840,1840,Landunvez
Marià Fortuny,1838,1838,Reus
Mihaly Munkacsy,1844,1844,Mukachevo
Mikhail Vrubel,1856,1856,Omsk
Miklos Barabas,1922,1922,Budapest
Mohammad Hadi Tajvidi,1893,1893,Isfahan
Nikola Martinoski,1903,1903,Kruševo
Nikolai Ge,1831,1831,Voronezh
Nikolaos Gyzis,1842,1842,Tinos
Pablo Picasso,1881,1881,Málaga
Paul Delaroche,1797,1797,Paris
Paul Peel,1860,1860,London
Paul-Albert Besnard,1849,1849,7th arrondissement of Paris
Pedro Américo,1843,1843,Areia
Petrus van Schendel,1806,1806,Terheijden
Raja Ravi Varma,1848,1848,Kilimanoor
Rodolfo Amoedo,1857,1857,Salvador
Rubens Santoro,1859,1859,Mongrassano
Sir Lawrence Alma-Tadema,1836,1836,Dronryp
Solomon Joseph Solomon,1860,1860,London
Theodor Aman,1831,1831,Câmpulung
Thomas Couture,1815,1815,Senlis
Thomas Francis Dicksee,1819,1819,London
Vasily Surikov,1848,1848,Krasnoyarsk
Victor Meirelles,1832,1832,Florianópolis
Vincenzo Camuccini,1771,1771,Rome
Wilhelm Kotarbinski,1849,1849, Nieborow
William-Adolphe Bouguereau,1825,1825,La Rochelle
Wojciech Weiss,1875,1875,Leorda
Arnulf Rainer,1929,1929,Baden
Brion Gysin,1916,1916,Taplow
Franz Kline,1910,1910,Wilkes-Barre
N.C. Wyeth,1882,1882,Needham
Rockwell Kent,1882,1882,Tarrytown
Stuart Davis,1892,1892,Philadelphia
Albert Gleizes,1881,1881,Paris
Georges Braque,1882,1882,Argenteuil
Jean Metzinger,1883,1883,Nantes
Juan Gris,1887,1887,Madrid
Pavel Filonov,1883,1883,Moscow
Yervand Kochar,1899,1899,Tbilisi
August Natterer,1868,1868,Ravensburg
Bill Traylor,1854,1854,Benton
David Lynch,1946,1946,Missoula
Gaston Chaissac,1910,1910,Avallon
Henry Darger,1892,1892,Chicago
Howard Finster,1916,1916,Valley Head
Jean Dubuffet,1901,1901,Le Havre
Louis Pons,1927,1927,Marseille
Louis Soutter,1871,1871,Morges
Aleksandra Ekster,1882,1882,Białystok
Archibald Motley,1891,1891,New Orleans
Bernardo Marques,1898,1898,Silves
Cassandre,1901,1901,Kharkiv
David Alfaro Siqueiros,1896,1896,Mexico City
Diego Rivera,1886,1886,Guanajuato City
Eric Gill,1882,1882,Brighton
Eugeniusz Zak,1884,1884,Mahiĺna
François Pompon,1855,1855,Saulieu
Gerda Wegener,1885,1885,Hammelev
Gregorio Sciltian,1900,1900,Nakhichevan-on-Don
Ivan Mestrovic,1883,1883,Vrpolje
Jean Dupas,1882,1882,Bordeaux
John Austen,1886,1886,Dover
John Vassos,1898,1898,Unknown
Petre Otskheli,1907,1907,Kutaisi
Raphael Delorme,1886,1886,Caudéran
Rene Magritte,1898,1898,Lessines
Tahir Salahov,1928,1928,Baku
Tamara de Lempicka,1898,1898,Warsaw
Zinaida Serebriakova,1884,1884,Neskuchnoye
Adrien Dax,1913,1913,Toulouse
Afro,1912,1912,Udine
Akira Kanayama,1924,1924,Unknown
Alberto Burri,1915,1915,Città di Castello
Alfred Manessier,1911,1911,Saint-Ouen
Alighiero Boetti,1940,1940,Turin
Andre Lanskoy,1902,1902,Moscow
