Alvaro Lapa,1939,1939,Abstract Art
Andy Warhol,1928,1928,Pop Art
Anne Ryan,1889,1889,Abstract Expressionism
Antonio Corpora,1909,1909,Abstract Art
Armand Vaillancourt,1929,1929,Abstract Expressionism
Arshile Gorky,1904,1904,Surrealism
Arthur Pinajian,1914,1914,Abstract Expressionism
Atsuko Tanaka,1932,1932,Neo-Dada
Audrey Flack,1931,1931,Abstract Expressionism
Avigdor Arikha,1929,1929,Expressionism
Barnett Newman,1905,1905,Abstract Art
Basil Beattie,1935,1935,Abstract Expressionism
Basuki Abdullah,1915,1915,Realism
Bernard Cohen,1933,1933,Abstract Art
Betty Parsons,1900,1900,Abstract Expressionism
Blinky Palermo,1943,1943,Abstract Art
Bradley Walker Tomlin,1899,1899,Abstract Art
Brett Whiteley,1939,1939,Neo-Expressionism
Brice Marden,1938,1938,Abstract Art
Bui Xuan Phai,1920,1920,Expressionism
Burhan Dogancay,1929,1929,Pop Art
Charles Garabedian,1923,1923,Contemporary Realism
Clarence Holbrook Carter,1936,1936,Magic Realism
Craig Kauffman,1932,1932,Light and Space
Cy Twombly,1928,1928,Abstract Expressionism
Daan Lemaire,1942,1942,Abstract Expressionism
Dan Christensen,1942,1942,Abstract Expressionism
Dan Flavin,1933,1933,Minimalism
David Hare,1917,1917,Surrealism
Donald Judd,1928,1928,Minimalism
Douglas Huebler,1924,1924,Conceptual Art
Eduardo Nery,1938,1938,Abstract Illusionism
Edward Corbett,1817,1817,Abstract Art
Edward Ruscha,1937,1937,Pop Art
Elaine de Kooning,1918,1918,Abstract Expressionism
Elmer Bischoff,1916,1916,Expressionism
Endre Balint,1914,1914,Expressionism
Esteban Vicente,1903,1903,Abstract Art
Etel Adnan,1925,1925,Abstract Art
Eva Hesse,1936,1936,Arte Povera
Frank Bowling,1934,1934,Abstract Expressionism
Frank Lobdell,1921,1921,Abstract Expressionism
Frank Stella,1936,1936,Post-Painterly Abstraction
Frederic Matys Thursz,1930,1930,Minimalism
Frederick Hammersley,1919,1919,Post-Painterly Abstraction
Friedel Dzubas,1915,1915,Abstract Art
Gandy Brodie,1924,1924,Abstract Expressionism
Gary Wragg,1946,1946,Abstract Art
Gebre Kristos Desta,1932,1932,Abstract Expressionism
Gene Davis,1920,1920,Post-Painterly Abstraction
George Stefanescu,1843,1843,Post-Impressionism
Gerhard Richter,1932,1932,Abstract Art
Giorgio Cavallon,1904,1904,Abstract Art
Gotthard Graubner,1930,1930,Abstract Expressionism
Guido Molinari,1933,1933,Post-Painterly Abstraction
Gunther Forg,1952,1952,Abstract Art
Hannelore Baron,1926,1926,Abstract Expressionism
Hans Hofmann,1933,1933,Abstract Art
Hassan Massoudy,1944,1944,Contemporary
Hassel Smith,1915,1915,Abstract Art
Hedda Sterne,1910,1910,Surrealism
Helen Frankenthaler,1928,1928,Abstract Expressionism
Horia Bernea,1938,1938,Neo-Orthodoxism
Howard Hodgkin,1932,1932,Abstract Expressionism
Howard Mehring,1931,1931,Post-Painterly Abstraction
Huang Yongyu,1924,1924,Republic of China (1912–1949)
Irma Blank,1934,1934,Minimalism
Ivan Eyre,1935,1935,Surrealism
Jack Tworkov,1900,1900,Abstract Art
Jackson Pollock,1912,1912,Abstract Art
James Brooks,1940,1940,Abstract Expressionism
Jane Frank,1918,1918,Abstract Expressionism
Jean-Paul Riopelle,1923,1923,Abstract Art
Jimmy Ernst,1920,1920,Abstract Expressionism
Joan Miro,1893,1893,Surrealism
Joan Mitchell,1925,1925,Abstract Art
Joan Snyder,1940,1940,Abstract Expressionism
Jock Macdonald,1897,1897,Surrealism
Joe Goode,1937,1937,Abstract Expressionism
John Cage,1912,1912,Abstract Expressionism
John Hoyland,1934,1934,Abstract Expressionism
John McCracken,1934,1934,Minimalism
Jose Guerrero,1914,1914,Abstract Expressionism
Julio Pomar,1926,1926,Social Realism
Jurgen Partenheimer,1947,1947,Conceptual Art
Kazuo Nakamura,1906,1906,Abstract Expressionism
Kazuo Shiraga,1924,1924,Abstract Expressionism
Kenzo Okada,1902,1902,Abstract Expressionism
Larry Bell,1939,1939,Minimalism
Larry Zox,1937,1937,Abstract Art
Lech Twardowski,1952,1952,Contemporary
Lee Bontecou,1931,1931,Abstract Art
Leiko Ikemura,1951,1951,Neo-Expressionism
Leo Valledor,1936,1936,Abstract Expressionism
Louise Nevelson,1899,1899,Abstract Expressionism
Manabu Mabe,1924,1924,Abstract Art
Manoucher Yektai,1922,1922,Abstract Expressionism
Manuel Cargaleiro,1927,1927,Abstract Expressionism
Manuel Neri,1930,1930,Neo-Expressionism
Marcel Barbeau,1925,1925,Abstract Art
Marcia Hafif,1929,1929,Abstract Expressionism
Mario Cesariny,1923,1923,Surrealism
Mark Lancaster,1970,1970,Post-Painterly Abstraction
