title,artwork_date,artist_name,birth_year,birth_year_key
Portable Solar Lantern (model SL 48),1985,Hedda Beese,1944,1944
Stag Hunting Bow,1946,Albin J. Herek,1912,1912
Stag Hunting Bow,1946,Philip V. Leivo,1914,1914
Folding Headphones,1986,Luigi Colani,1928,1928
Study for a Glider Nose,1943,Gregory Ain,1908,1908
Study for a Glider Nose,1943,Harry Bertoia,1915,1915
Study for a Glider Nose,1943,Norman Bruns,1921,1921
Study for a Glider Nose,1943,Marion Overby,1909,1909
Salad Serving Set,1967,Carl Auböck,1924,1924
Wind MIDI Controller (model WX7),1986,Yasuhiro Kira,1947,1947
Crinkled Sheer Fabric,1995,Junichi Arai,1932,1932
How High the Moon Armchair,1986,Shiro Kuramata,1934,1934
VoicePoint Audio Teleconferencing Unit (model AEC-40),1988,NEC Design,1971,1971
Prayer Bench,1898,Antoni Gaudí,1852,1852
Letter Opener,1960,Marcello Nizzoli,1887,1887
Tablecloth,1905,Berthold Löffler,1874,1874
Paper Work,1968,Ed Rossbach,1914,1914
ThinkPad 701 Portable Computer,1995,IBM Corporation,1911,1911
ThinkPad 701 Portable Computer,1995,Sam Lucente,1958,1958
ThinkPad 701 Portable Computer,1995,Richard Sapper,1932,1932
ThinkPad 701 Portable Computer,1995,Robert P. Tennant,1948,1948
ThinkPad 701 Portable Computer,1995,John Karidis,1958,1958
"""Nénuphar"" table lamp",1900,Daum Frères,1875,1875
E-Type Roadster,1961,Sir William Lyons,1901,1901
E-Type Roadster,1961,Malcolm Sayer,1916,1916
E-Type Roadster,1961,William M. Heynes,1903,1903
Sintrax Coffee Machine,1925,Gerhard Marcks,1889,1889
Scarf,1991,Eiji Miyamoto,1948,1948
Expandable Containers,1987,William N. Touzani,1954,1954
Tumbler,1880,Harry J. Powell,1855,1855
Bullet-Resistant Mask,1983,Stephen Armellino,1955,1955
Woodnotes Textile,1987,Ritva Puotila,1935,1935
Mindset Personal Computer,1983,Robert Brunner,1958,1958
